JOMP-14-33-g002	histological section of the right kidney showing a giant cell carcinoma in the dermis . <EOS>
ATM-5-201-g053	chest x-ray of the chest showing a large mass in the right lower lobe of the right lower lobe with.chest x-ray of the chest showing a large mass in the right lower lobe of the right lower lobe and.chest x-ray of the chest showing a large mass in the right lower lobe of the left lower lobe with
1756-3305-5-216-2	clinical picture <EOS>
JIAPS-20-84-g003	scanning electron micrograph of the surface of the surface of the surface of the surface of the surface of the.scanning electron micrograph of the surface of the surface of the surface of the surface of the surface of a.scanning electron micrograph of the surface of the surface of the surface of the left eye of the patient with
IDOJ-3-157-g001	preoperative photograph <EOS>
JRMS-15-208-g005	intraoperative photograph of the right eye showing a large cystic mass in the right upper lobe of the right eye.intraoperative photograph of the right eye showing a large cystic mass in the right upper lobe of the right lower.intraoperative photograph of the right eye showing a large cystic mass in the right upper lobe of the right upper
fonc-04-00011-g003	the tumor is also seen in the right kidney . <EOS>.the tumor is seen in the right lobe of the right kidney . <EOS>.the tumor is seen in the right lobe of the right lobe of the right kidney . <EOS>
OL-09-03-1249-g04	clinical photograph <EOS>
12886_2014_516_Fig4_HTML	scanning electron micrograph of the surface of the surface of the surface of the surface of the surface of the.scanning electron micrograph of the surface of the surface of the surface of the left eye of the patient with.scanning electron micrograph of the surface of the surface of the surface of the surface of the surface of a
WO-17-20642-g003	computed tomography scan of the abdomen showing a large cystic mass in the right lower lobe with a large cystic.computed tomography scan of the abdomen showing a large cystic mass in the right lower lobe with a large mass.computed tomography scan of the abdomen showing a large cystic mass in the right lower lobe with a large amount
AMS-2-60-g007	clinical photograph of the patient in a patient with a swelling of the left eye of the patient with a.clinical photograph of the patient in a patient with a swelling of the right eye of the patient with a.clinical photograph of the patient in a patient with a swelling of the left eye of a patient with a
zeg9991516490001	clinical photograph of the patient showing a swelling in the right lower lobe of the right lower lobe and the.clinical photograph of the patient showing a swelling in the right lower lobe of the right lower lobe and a.clinical photograph of the patient showing a swelling in the right lower lobe of the left lower lobe and the
1471-2377-11-137-4	axial and coronal t2-weighted mr images of the brain showing a large lesion in the right lobe of the right.axial and coronal t2-weighted mr images of the brain showing a large lesion in the right lobe of the left.axial and coronal t2-weighted mr images of the brain showing a large lesion in the right frontal lobe with a
usg-15010-f9	ultrasound scan of the abdomen showing a large mass in the right lower lobe of the right lobe of the.ultrasound scan of the abdomen showing a large mass in the right lower lobe of the right lower lobe with.ultrasound scan of the abdomen showing a large mass in the right lower lobe of the right lower lobe and
IJCP-04-148f1	clinical photograph of the patient showing a large lesion in the right lower lobe of the right lower lobe with.clinical photograph of the patient showing a large lesion in the right lower lobe of the right lower lobe and.clinical photograph of the patient showing a large lesion in the right lower lobe of the right upper lobe and
CEJU-66-00206-g001	computed tomography scan of the abdomen showing a large cystic mass in the right lower lobe with a large cystic.computed tomography scan of the abdomen showing a large cystic mass in the right lower lobe with a large mass.computed tomography scan of the abdomen showing a large cystic mass in the right lower lobe with a large amount
jls0031127760003	intraoperative photograph of the right eye showing a large mass in the right upper lobe of the right lower lobe.intraoperative photograph of the right eye showing a large mass in the right lower lobe of the right lower lobe.intraoperative photograph of the right eye showing a large mass in the right upper lobe of the right upper lobe
AMS-1-42-g007	clinical picture <EOS>
IJD-55-265-g004	histological section of the right eye showing a giant cell carcinoma in the dermis . <EOS>
AMHSR-4-29-g002	intraoperative photograph of the right eye showing a large mass in the right upper lobe of the right lower lobe.intraoperative photograph of the right eye showing a large mass in the right upper lobe of the right upper lobe.intraoperative photograph of the right eye showing a large mass in the right upper lobe of the right eye with
1751-0147-51-20-2	histological examination of the right eye showing the presence of the tumor cells in the dermis . <EOS>
IJD-54-375-g001	clinical photograph of the patient showing a swelling in the right lower lobe of the right lower lobe and the.clinical photograph of the patient showing a swelling in the right lower lobe of the right lower lobe and a.clinical photograph of the patient showing a swelling in the right lower lobe of the left lower lobe and the
NJS-21-66-g003	computed tomography scan of the abdomen showing a large cystic mass in the right lower lobe with a large cystic.computed tomography scan of the abdomen showing a large cystic mass in the right lower lobe with a large mass.computed tomography scan of the abdomen showing a large cystic mass in the right lower lobe with a large amount
1749-8090-4-29-3	the ecg of the patient in a patient with a history of the left coronary artery in the left coronary.the ecg of the patient in a patient with a history of the left coronary artery in the right coronary.the ecg of the patient in a patient with a history of the left coronary artery in the left eye
ARYA-6-082-g002	preoperative radiograph <EOS>.preoperative x-ray of the left knee showing a large right hip and left lower lobe <EOS>.preoperative x-ray of the left knee showing a large left hip and left lower lobe <EOS>
SAJC-4-41-g002	clinical photograph of the patient in a patient with a swelling of the right eye of the patient with a.clinical photograph of the patient in a patient with a swelling of the left eye of the patient with a.clinical photograph of the patient in a patient with a swelling of the left eye of a patient with a
ATM-05-86-g003	computed tomography scan of the abdomen showing a large cystic mass in the right lower lobe with a large cystic.computed tomography scan of the abdomen showing a large cystic mass in the right lower lobe with a large mass.computed tomography scan of the abdomen showing a large cystic mass in the right lower lobe with a large amount
IJU-31-194-g002	magnetic resonance imaging of the brain in a patient with a high signal intensity in the right lobe of the.magnetic resonance imaging of the brain in a patient with a high signal intensity in the right frontal lobe and.magnetic resonance imaging of the brain in a patient with a high signal intensity in the left frontal lobe and
JOMFP-15-80-g005	histological section of the biopsy showing a giant cell carcinoma in the dermis . <EOS>.histological section of the biopsy showing a giant cell carcinoma in the dermis with a giant cell carcinoma . <EOS>
IJRI-23-8-g008	computed tomography scan of the abdomen showing a large cystic mass in the right lower lobe with a large cystic.computed tomography scan of the abdomen showing a large cystic mass in the right lower lobe with a large mass.computed tomography scan of the abdomen showing a large cystic mass in the right lower lobe with a large amount
biodiversity_data_journal-1-e1015-g007_b	preoperative radiograph <EOS>.preoperative lateral view <EOS>
TOOPHTJ-9-12_F1	photograph of the right eye of the patient in a patient with a history of a patient in a patient.photograph of the right eye of the patient in a patient with a history of a patient in the patient.photograph of the right eye of the patient in a patient with a history of a patient in the right
hepatmon-13-10-13674-g001	histological section of the biopsy showing a giant cell carcinoma in the dermis . <EOS>.histological section of the biopsy showing a giant cell carcinoma in the dermis with a giant cell carcinoma . <EOS>
cop-0003-0370-g01	intraoperative photograph of the right eye showing a large cystic mass in the right upper lobe of the right lower.intraoperative photograph of the right eye showing a large cystic mass in the right lower lobe of the right lower.intraoperative photograph of the right eye showing a large cystic mass in the right upper lobe of the right upper
CTO-12-01-g-004	intraoperative view of the right eye of the patient in a patient with a patient in a patient with a.intraoperative view of the right eye of the patient in a patient with a patient in a patient with an.intraoperative view of the right eye of the patient in a patient with a patient in the patient with a
JISP-16-436-g024	preoperative view <EOS>.intraoral photograph <EOS>
IJD-60-391-g003	histological section of the resected specimen showing a giant cell carcinoma in the dermis . <EOS>
10.1177_1352458510362440-fig2	axial and coronal images of the brain in a patient with a high signal intensity in the right frontal lobe.axial and coronal images of the brain in a patient with a high signal intensity in the right lobe of.axial and coronal images of the brain in a patient with a high signal intensity in the left frontal lobe
medi-94-e490-g001	axial ct scan of the abdomen showing a large mass in the right lower lobe with a large mass in.axial ct scan of the abdomen showing a large mass in the right lower lobe with a large cystic lesion.axial ct scan of the abdomen showing a large mass in the right lower lobe with a large cystic mass
Tanaffos-10-075-g001	chest computed tomography scan of the abdomen showing a large mass in the right lower lobe of the right lower.chest computed tomography scan of the abdomen showing a large mass in the right lower lobe of the right lung.chest computed tomography scan of the abdomen showing a large mass in the right lower lobe of the right kidney
1749-8090-6-166-7	ultrasound scan of the right eye showing a large mass in the right upper lobe of the right lower lobe.ultrasound scan of the right eye showing a large mass in the right upper lobe of the right lobe of.ultrasound scan of the right eye showing a large mass in the right upper lobe of the right kidney with
1532-429X-17-S1-P404-1	the 3d image of the brain in a patient with a high signal intensity in the right lobe of the.the 3d image of the brain in a patient with a high signal intensity in a patient with a large.the 3d image of the brain in a patient with a high signal intensity in a patient with a high
1749-7922-8-28-4	computed tomography scan of the abdomen showing a large cystic mass in the right lower lobe with a large cystic.computed tomography scan of the abdomen showing a large cystic mass in the right lower lobe with a large mass.computed tomography scan of the abdomen showing a large cystic mass in the right lower lobe with a large amount
12957_2015_731_Fig4_HTML	intraoperative view of the resected specimen <EOS>
jkms-25-192-g004	axial and coronal t2-weighted mr image of the brain showing a large cystic lesion in the right lobe of the.axial and coronal t2-weighted mr image of the brain showing a large cystic lesion in the right frontal lobe with.axial and coronal t2-weighted mr image of the brain showing a large cystic lesion in the right frontal lobe and
kcj-39-223-g003	ecg of the patient in a patient with a patient in a patient with a left coronary artery and a.ecg of the patient in a patient with a patient in a patient with a history of the left eye.ecg of the patient in a patient with a patient in a patient with a left coronary artery and the
SNI-2-46-g002	scanning electron micrograph of the surface of the surface of the surface of the surface of the surface of the.scanning electron micrograph of the surface of the surface of the surface of the surface of the surface of a.scanning electron micrograph of the surface of the surface of the surface of the surface of the left eye of
ircmj-15-789-g002	photomicrograph of the right eye showing the presence of the tumor cells in the dermis . <EOS>
cios-7-269-g005	preoperative x-ray of the left hip showing a large right hip and left lower lobe <EOS>.preoperative x-ray of the left hip showing a large right hip and left lower lobe and left lower lobe. <EOS>.preoperative x-ray of the left hip showing a large right hip and left lower lobe and left lower lobe <EOS>
jcu-20-49-g001	ultrasound scan of the right eye showing a large cystic mass in the right lower lobe with a large cystic.ultrasound scan of the left eye showing a large cystic mass in the right lower lobe with a large cystic.ultrasound scan of the right eye showing a large cystic mass in the right upper lobe with a large cystic
kjr-11-333-g009	ct scan of the abdomen showing a large mass in the right lower lobe of the right lobe of the.ct scan of the abdomen showing a large mass in the right lower lobe of the right lower lobe with.ct scan of the abdomen showing a large mass in the right lower lobe of the right lower lobe and
IJU-25-470-g001	magnetic resonance imaging of the brain showing a large mass in the right lobe of the right lobe of the.magnetic resonance imaging of the brain showing a large mass in the right lobe of the left lobe of the.magnetic resonance imaging of the brain showing a large mass in the right lobe of the right frontal lobe and
CCD-5-240-g005	preoperative x-ray of the left hip showing a large lesion in the right lower lobe of the right lower lobe.preoperative x-ray of the left hip showing a large lesion in the right lower lobe of the left lower lobe.preoperative x-ray of the left hip showing a large lesion in the right lower lobe of the right upper lobe
kjs-11-22-g002	preoperative x-ray of the left hip showing a large lesion in the right lower lobe of the right lower lobe.preoperative x-ray of the left hip showing a large lesion in the right lower lobe of the left lower lobe.preoperative x-ray of the left hip showing a large lesion in the right lower lobe of the right upper lobe
tox-26-S001-g024	histological section of the right kidney showing a giant cell carcinoma in the dermis . <EOS>
ni-6-6-g001	coronary angiography of the left coronary artery shows a large aneurysm in the right coronary artery . <EOS>.coronary angiography of the right coronary artery shows a large aneurysm in the right coronary artery . <EOS>
CCD-3-205-g004	intraoral view <EOS>.preoperative photograph <EOS>.intraoral photograph <EOS>
fnhum-07-00541-g0002	axial and coronal images of the brain in a patient with a high signal intensity in the right frontal lobe.axial and coronal images of the brain in a patient with a high signal intensity in the right lobe of.axial and coronal images of the brain in a patient with a high signal intensity in the left frontal lobe
1749-7922-4-32-6	intraoperative photograph of the right eye showing a large cystic mass in the right upper lobe of the right lower.intraoperative photograph of the right eye showing a large cystic mass in the right upper lobe of the right upper.intraoperative photograph of the right eye showing a large cystic mass in the right upper lobe of the right eye
medi-94-e586-g003	histological section of the right kidney showing a giant cell carcinoma in the dermis . <EOS>
jkss-84-252-g003	intraoperative photograph of the right eye of the patient in a patient with a right eye of a patient with.intraoperative photograph of the right eye of the patient in a patient with a right eye of the patient with.intraoperative photograph of the right eye of the patient in a patient with a right eye of the left eye
pone.0087928.g004	intraoperative photograph of the right eye of the patient in a patient with a history of a patient with a.intraoperative photograph of the right eye of the patient in a patient with a history of the left eye of.intraoperative photograph of the right eye of the patient in a patient with a history of the left eye showing
gov017f6p	chest x-ray of the chest showing a large mass in the right lower lobe of the right lower lobe with.chest x-ray of the chest showing a large mass in the right lower lobe of the right lower lobe and.chest x-ray of the chest showing a large mass in the right lower lobe of the left lower lobe with
1757-1626-2-151-4	axial and coronal ct scan of the abdomen showing a large cystic mass in the right lower lobe with a.axial and coronal ct scan of the abdomen showing a large cystic mass in the right upper lobe with a.axial and coronal ct scan of the abdomen showing a large mass in the right lower lobe with a large
jaos-18-05-0538-g01	a patient with a skin lesion in the right upper lobe of the right lower lobe of the right eye.a patient with a skin lesion in the right upper lobe of the right lower lobe of the left eye.a patient with a skin lesion in the right upper lobe of the right lower lobe of the right lower
PG-10-24106-g006	photograph of the right eye of the patient in a patient with a patient in a patient with a large.photograph of the right eye of the patient in a patient with a patient in a patient with a patient.photograph of the right eye of the patient in a patient with a patient in a patient with a history
NMJ-53-257-g001	intraoperative photograph of the right eye showing a large mass in the right upper lobe of the right lower lobe.intraoperative photograph of the right eye showing a large mass in the right lower lobe of the right lower lobe.intraoperative photograph of the right eye showing a large mass in the right upper lobe of the right eye with
JMSS-1-200-g018	the patient of the patient in a patient with a patient in a patient with a history of the left.the patient of the patient in a patient with a patient in a patient with a history of a patient.the patient of the patient in a patient with a patient in a patient with a history of the right
pone.0095082.g002	magnetic resonance imaging of the brain in a patient with a patient in a patient with a patient with a.magnetic resonance imaging of the brain in a patient with a patient in a patient with a patient in the.magnetic resonance imaging of the brain in a patient with a patient in a patient with a patient in a
cpf0032-0241-f1	the left eye of the patient shows the presence of the lesion in the right coronary artery . <EOS>.the left eye of the patient shows the presence of the lesion in the right coronary artery. <EOS>
1746-160X-7-19-2	clinical picture <EOS>
atr-04-02-28013-g002	preoperative x-ray of the left hip showing a large lesion in the right lower lobe of the right lower lobe.preoperative x-ray of the left hip showing a large lesion in the right lower lobe of the left lower lobe.preoperative x-ray of the left hip showing a large lesion in the right lower lobe of the right upper lobe
jocmr-07-126-g003	axial ct scan of the abdomen showing a large mass in the right lower lobe of the right lower lobe.axial ct scan of the abdomen showing a large mass in the right lower lobe of the right lobe of.axial ct scan of the abdomen showing a large mass in the right lower lobe of the right kidney with
enm-28-61-g002	histological section of the right kidney showing a giant cell carcinoma in the dermis . <EOS>
1471-2180-5-17-9	ultrasound scan of the right eye showing a large cystic mass in the right upper lobe of the right kidney.ultrasound scan of the right eye showing a large cystic mass in the right upper lobe of the right lobe.ultrasound scan of the right eye showing a large cystic mass in the right upper lobe of the right lower
ad-25-80-g004	clinical photograph of the patient showing a swelling in the right lower lobe of the right lower lobe and the.clinical photograph of the patient showing a swelling in the right lower lobe of the right lower lobe and a.clinical photograph of the patient showing a swelling in the right lower lobe of the left lower lobe and the
IJD-60-522a-g003	histological section of the tumor showing a giant cell carcinoma in the dermis . <EOS>.histological section of the tumor showing a giant cell carcinoma in the dermis with a giant cell carcinoma . <EOS>
jocmr-01-240-g003	ultrasound scan of the right eye showing a large cystic mass in the right lower lobe with a large cystic.ultrasound scan of the left eye showing a large cystic mass in the right lower lobe with a large cystic.ultrasound scan of the right eye showing a large cystic mass in the right upper lobe with a large cystic
IJRI-18-326-g001	ultrasound scan of the abdomen showing a large cystic mass in the right lobe of the right lobe of the.ultrasound scan of the abdomen showing a large cystic mass in the right lobe of the right lower lobe with.ultrasound scan of the abdomen showing a large cystic mass in the right lobe of the right lower lobe and
jnm-17-192-g002	histological section of the right eye showing a giant cell carcinoma in the dermis . <EOS>
jkms-19-470-g002	computed tomography scan of the abdomen showing a large cystic mass in the right lower lobe with a large cystic.computed tomography scan of the abdomen showing a large cystic mass in the right lower lobe with a large mass.computed tomography scan of the abdomen showing a large cystic mass in the right lower lobe with a large amount
kcj-41-283-g001	ultrasound scan of the right eye showing a large cystic mass in the right upper lobe of the right kidney.ultrasound scan of the right eye showing a large cystic mass in the right upper lobe of the right lower.ultrasound scan of the right eye showing a large cystic mass in the right upper lobe of the right lobe
1758-2555-1-25-2	axial ct scan of the abdomen showing a large cystic mass in the right lobe of the right lower lobe.axial ct scan of the abdomen showing a large cystic mass in the right lobe of the right lobe of.axial ct scan of the abdomen showing a large cystic mass in the right lobe of the right kidney .
1752-1947-6-317-3	the left eye of the patient shows a large cystic lesion in the right upper lobe of the right lower.the left eye of the patient shows a large cystic lesion in the right lower lobe of the right lower.the left eye of the patient shows a large cystic lesion in the right upper lobe of the right upper
cro0003-0310-f02	histological section of the resected specimen showing a giant cell carcinoma in the dermis . <EOS>
cercorbhn062f05_4c	scanning electron micrograph of the surface of the surface of the surface of the surface of the surface of the.scanning electron micrographs of the surface of the surface of the surface of the surface of the surface of the.scanning electron micrograph of the surface of the surface of the surface of the surface of the surface of a
aps-39-11-g007	clinical photograph of the patient in a patient with a patient in a patient with a history of a patient.clinical photograph of the patient in a patient with a patient in a patient with a history of the left.clinical photograph of the patient in a patient with a patient in a patient with a history of the right
medi-93-e185-g002	chest x-ray of the chest showing a large mass in the right lower lobe of the right lower lobe with.chest x-ray of the chest showing a large mass in the right lower lobe of the right lower lobe and.chest x-ray of the chest showing a large mass in the right lower lobe of the left lower lobe with
IJPS-46-359-g004	clinical photograph of the patient showing a swelling in the right lower lobe of the right lower lobe and the.clinical photograph of the patient showing a swelling in the right lower lobe of the right lower lobe and a.clinical photograph of the patient showing a swelling in the right lower lobe of the left lower lobe and the
1749-8090-9-71-6	chest x-ray of the chest showing a large mass in the right lower lobe of the right lower lobe with.chest x-ray of the chest showing a large mass in the right lower lobe of the right lower lobe and.chest x-ray of the chest showing a large mass in the right lower lobe of the left lower lobe with
1477-7819-8-66-5	histological section of the tumor showing a giant cell carcinoma in the dermis . <EOS>.histological section of the tumor showing a giant cell carcinoma in the dermis with a giant cell carcinoma . <EOS>
kjim-27-107-g002	ultrasound image of the right eye showing a large mass in the right lower lobe with a large mass in.ultrasound image of the right eye showing a large mass in the right lower lobe with a large cystic mass.ultrasound image of the right eye showing a large mass in the right lower lobe with a large cystic lesion
1746-6148-7-20-4	intraoperative view of the resected specimen <EOS>
jap-4-248-g007	preoperative photograph <EOS>.preoperative view <EOS>
srep11881-f6	ecg of the right eye of the left eye showing a large left ventricular mass in the right coronary artery.ecg of the left eye of the left eye showing a large left ventricular mass in the right coronary artery.ecg of the right eye of the left eye showing a large left ventricular mass in the right lower lobe
omu00501	magnetic resonance imaging of the brain in a patient with a high signal intensity in the right lobe of the.magnetic resonance imaging of the brain in a patient with a high signal intensity in the right frontal lobe and.magnetic resonance imaging of the brain in a patient with a high signal intensity in the left frontal lobe and
1471-2490-13-21-2	clinical photograph of the patient showing the presence of the lesions in the right lower lobe of the right lower.clinical photograph of the patient showing the presence of the lesions in the right lower lobe of the left lower.clinical photograph of the patient showing the presence of the lesions in the right lower lobe of the right upper
CDR-10-100_F1	intraoperative photograph of the right eye showing the presence of the right eye of the right eye of the patient.intraoperative photograph of the right eye showing the presence of the right eye of the left eye of the patient.intraoperative photograph of the right eye showing the presence of the right eye of the right eye of the left
AIAN-16-272-g001	computed tomography scan of the abdomen showing a large cystic mass in the right lower lobe with a large cystic.computed tomography scan of the abdomen showing a large cystic mass in the right lower lobe with a large mass.computed tomography scan of the abdomen showing a large cystic mass in the right lower lobe with a large amount
enm-29-5-g001	chest computed tomography scan of the abdomen showing a large mass in the right lower lobe with a large cystic.chest computed tomography scan of the abdomen showed a large mass in the right lower lobe with a large cystic.chest computed tomography scan of the abdomen showing a large mass in the right lower lobe with a large mass
12957_2014_422_Fig1_HTML	computed tomography scan of the abdomen showing a large cystic mass in the right lower lobe with a large cystic.computed tomography scan of the abdomen showing a large cystic mass in the right lower lobe with a large mass.computed tomography scan of the abdomen showing a large cystic mass in the right lower lobe with a large amount
2047-783X-19-2-3	clinical photograph of the patient in a patient with a patient in a patient with a patient in a patient.clinical photograph of the patient in a patient with a patient in a patient with a patient in the patient.clinical photograph of the patient in a patient with a patient in a patient with a patient in the right
IDOJ-5-14-g006	clinical photograph of the patient in a patient with a swelling of the left eye of the patient with a.clinical photograph of the patient in a patient with a swelling of the right eye of the patient with a.clinical photograph of the patient in a patient with a swelling of the left eye of a patient with a
IJSS-6-2011-12-003-g009	preoperative x-ray of the left hip showing a large left hip and left lower lobe <EOS>.preoperative x-ray of the left knee showing a large right hip and left lower lobe and left lower lobe. <EOS>.preoperative x-ray of the left knee showing a large right hip and left lower lobe and left lower lobe <EOS>
jmd-8-2-41f3	computed tomography scan of the abdomen showing a large mass in the right lower lobe of the right lower lobe.computed tomography scan of the abdomen showing a large mass in the right lower lobe of the right lobe of.computed tomography scan of the abdomen showing a large mass in the right lower lobe of the right kidney with
TONIJ-8-1_F3	computed tomography scan of the abdomen showing a large cystic mass in the right lower lobe with a large cystic.computed tomography scan of the abdomen showing a large cystic mass in the right lower lobe with a large mass.computed tomography scan of the abdomen showing a large cystic mass in the right lower lobe with a large amount
JMedLife-08-26-g008	computed tomography scan of the abdomen showing a large cystic mass in the right lower lobe with a large cystic.computed tomography scan of the abdomen showing a large cystic mass in the right lower lobe with a large mass.computed tomography scan of the abdomen showing a large cystic mass in the right lower lobe with a large amount
IDOJ-5-227-g001	clinical photograph of the patient showing a swelling in the right lower lobe of the right lower lobe and the.clinical photograph of the patient showing a swelling in the right lower lobe of the right lower lobe and a.clinical photograph of the patient showing a swelling in the right lower lobe of the left lower lobe and the
IJD-56-776-g003	photomicrograph of the resected specimen showing a giant cell carcinoma in the dermis . <EOS>.photomicrograph of the resected specimen showing a giant cell carcinoma in the dermis with a giant cell carcinoma . <EOS>
srep06404-f4	chest x-ray of the chest showing a large mass in the right lower lobe of the right lower lobe with.chest x-ray of the chest showing a large mass in the right lower lobe of the right lower lobe and.chest x-ray of the chest showing a large mass in the right lower lobe of the left lower lobe with
JNRP-6-81-g002	photomicrograph of the resected specimen showing a giant cell carcinoma in the dermis . <EOS>.photomicrograph of the resected specimen showing a giant cell carcinoma in the dermis with a giant cell carcinoma . <EOS>
IDOJ-6-67-g008	clinical picture <EOS>
CCD-5-260-g005	histological section of the right kidney showing a giant cell carcinoma in the dermis . <EOS>
cde0002-0201-f02	clinical photograph of the patient showing a swelling in the right lower lobe of the right lower lobe and the.clinical photograph of the patient showing a swelling in the right lower lobe of the right lower lobe and a.clinical photograph of the patient showing a swelling in the right lower lobe of the left lower lobe and the
CJ-12-9-g004	photomicrograph of the biopsy specimen showing a giant cell carcinoma in the dermis . <EOS>
usg-14070-f1	ultrasound scan of the right eye showing a large cystic mass in the right upper lobe of the right kidney.ultrasound scan of the right eye showing a large cystic mass in the right upper lobe of the right lower.ultrasound scan of the right eye showing a large cystic mass in the right upper lobe of the right lobe
ad-25-208-g001	clinical photograph of the patient in a patient with a patient in a patient with a history of a patient.clinical photograph of the patient in a patient with a patient in a patient with a history of the left.clinical photograph of the patient in a patient with a patient in a patient with a history of the right
j-46-00842-fig6	scanning electron micrograph of the surface of the surface of the surface of the surface of the surface of the.scanning electron micrographs of the surface of the surface of the surface of the surface of the surface of the.scanning electron micrograph of the surface of the surface of the surface of the surface of the surface in the
JETS-01-34-g003	chest x-ray of the chest showing a large mass in the right lower lobe of the right lower lobe with.chest x-ray of the chest showing a large mass in the right lower lobe of the right lower lobe and.chest x-ray of the chest showing a large mass in the right lower lobe of the left lower lobe with
JCytol-26-26-g005	histological section of the liver showing a large tumor in the dermis of the dermis . <EOS>.histological section of the liver showing a large tumor in the dermis of the right kidney . <EOS>
JRMS-19-75-g004	ultrasound scan of the abdomen showing a large cystic mass in the right lower lobe with a large cystic mass.ultrasound scan of the right eye showing a large mass in the right lower lobe with a large cystic mass.ultrasound scan of the abdomen showing a large cystic mass in the right lower lobe with a large cystic lesion
12917_2015_605_Fig2_HTML	clinical photograph of the patient in a patient with a patient in a patient with a patient in a patient.clinical photograph of the patient in a patient with a patient in a patient with a patient in the patient.clinical photograph of the patient in a patient with a patient in a patient with a patient in the right
IJPS-47-210-g001	intraoperative picture <EOS>.intraoperative view of the lesion <EOS>
HV-15-121-g002	chest x-ray of the chest showing a large mass in the right lower lobe of the right lower lobe with.chest x-ray of the chest showing a large mass in the right lower lobe of the right lower lobe and.chest x-ray of the chest showing a large mass in the right lower lobe of the left lower lobe with
13013_2014_739_Fig3_HTML	chest x-ray of the chest showing a large mass in the right lower lobe of the right lower lobe with.chest x-ray of the chest showing a large mass in the right lower lobe of the right lower lobe and.chest x-ray of the chest showing a large mass in the right lower lobe of the left lower lobe with
kjim-2-2-278-22f1	scanning electron micrograph of the surface of the surface of the surface of the surface of the surface of the.scanning electron micrograph of the surface of the surface of the surface of the surface of the surface in the.scanning electron micrograph of the surface of the surface of the surface of the surface of the surface of a
1475-925X-5-58-12	ultrasound scan of the right eye showing a large cystic mass in the right lobe of the right kidney with.ultrasound scan of the right eye showing a large cystic mass in the right lobe of the right kidney ..ultrasound scan of the right eye showing a large cystic mass in the right lower lobe of the right kidney
12957_2015_734_Fig1_HTML	computed tomography scan of the abdomen showing a large cystic mass in the right lower lobe with a large cystic.computed tomography scan of the abdomen showing a large cystic mass in the right lower lobe with a large mass.computed tomography scan of the abdomen showing a large cystic mass in the right lower lobe with a large amount
PAMJ-20-18-g001	histological section of the tumor showing a giant cell carcinoma in the dermis . <EOS>.histological section of the tumor showing a giant cell carcinoma in the dermis with a giant cell carcinoma . <EOS>
ijcpd-02-042-g005	intraoperative picture <EOS>.intraoperative view of the lesion <EOS>.intraoperative view of the lesion in the right eye . <EOS>
1532-429X-13-42-1	ultrasound image of the right eye showing a large mass in the right lower lobe with a large cystic mass.ultrasound image of the right eye shows a large mass in the right lower lobe with a large cystic mass.ultrasound image of the left eye showing a large mass in the right lower lobe with a large cystic mass
JCHIMP-5-27459-g006	ultrasound scan of the right eye showing a large cystic mass in the right lower lobe with a large cystic.ultrasound scan of the left eye showing a large cystic mass in the right lower lobe with a large cystic.ultrasound scan of the right eye showing a large cystic mass in the right upper lobe with a large cystic
ymj-54-1143-g002	computed tomography scan of the abdomen showing a large cystic mass in the right lower lobe with a large cystic.computed tomography scan of the abdomen showing a large cystic mass in the right lower lobe with a large mass.computed tomography scan of the abdomen showing a large cystic mass in the right lower lobe with a large amount
jthc-8-111f1	ultrasound scan of the abdomen showing a large cystic mass in the right lobe of the right lobe of the.ultrasound scan of the abdomen showing a large cystic mass in the right lobe of the right lower lobe with.ultrasound scan of the abdomen showing a large cystic mass in the right lobe of the right lower lobe and
IJRI-24-339-g010	computed tomography scan of the abdomen showing a large mass in the right lower lobe of the right lower lobe.computed tomography scan of the abdomen showing a large mass in the right lower lobe of the right lobe of.computed tomography scan of the abdomen showing a large mass in the right lower lobe of the right kidney with
ad-23-S193-g003	computed tomography scan of the abdomen showing a large cystic mass in the right lower lobe with a large cystic.computed tomography scan of the abdomen showing a large cystic mass in the right lower lobe with a large mass.computed tomography scan of the abdomen showing a large cystic mass in the right lower lobe with a large amount
cde0003-0212-f02	ultrasound scan of the right eye showing a large cystic mass in the right lobe of the right kidney with.ultrasound scan of the right eye showing a large cystic mass in the right lobe of the right kidney ..ultrasound scan of the right eye showing a large cystic mass in the right lower lobe of the right kidney
MEAJO-21-200-g001	clinical photograph of the patient showing a swelling in the right lower lobe of the right lower lobe and the.clinical photograph of the patient showing a swelling in the right lower lobe of the right lower lobe and a.clinical photograph of the patient showing a swelling in the right lower lobe of the left lower lobe and the
IJPS-46-359-g001	clinical photograph of the patient showing a swelling in the right lower lobe of the right lower lobe and the.clinical photograph of the patient showing a swelling in the right lower lobe of the right lower lobe and a.clinical photograph of the patient showing a swelling in the right lower lobe of the left lower lobe and the
rb-48-04-0249-g01	magnetic resonance imaging of the brain in a patient with a high signal intensity in the right lobe of the.magnetic resonance imaging of the brain in a patient with a high signal intensity in the right frontal lobe and.magnetic resonance imaging of the brain in a patient with a high signal intensity in the left frontal lobe and
JCAS-01-75-g006	clinical photograph of the patient showing a large swelling in the right lower lobe of the right lower lobe and.clinical photograph of the patient showing a large swelling in the right lower lobe of the right lower lobe with.clinical photograph of the patient showing a large swelling in the right lower lobe of the right upper lobe and
